"retention_time_ms","total_ion_chromatogram"
2690.737,2669629
2692.302,2606925
2693.867,2510036
2695.432,2410053
2696.997,2289030
2698.562,2182723
2700.127,2076716
2701.692,1957549
2703.257,1826770
2704.822,1713594
2706.387,1602651
2707.952,1513939
2709.517,1431479
2711.082,1371634
2712.646,1316378
2714.211,1266223
2715.776,1226032
2717.341,1191178
2718.906,1165021
2720.471,1140935
2722.036,1136959
2723.601,1134049
2725.166,1126264
2726.731,1120688
2728.296,1130919
2729.861,1125287
2731.426,1124539
2732.991,1127748
2734.556,1125986
2736.121,1121883
2737.686,1121836
2739.251,1136115
2740.816,1150014
2742.381,1178866
2743.946,1207649
2745.51,1235938
2747.075,1274387
2748.64,1311704
2750.205,1351880
2751.77,1381485
2753.335,1392166
2754.9,1400422
2756.465,1386954
2758.03,1377548
2759.595,1370068
2761.16,1353009
2762.725,1354116
2764.29,1353461
2765.855,1347344
2767.42,1342427
2768.985,1354919
2770.55,1400927
2772.115,1473077
2773.68,1574764
2775.245,1681607
2776.81,1825596
2778.375,1984853
2779.939,2166553
2781.504,2333453
2783.069,2480912
2784.634,2600653
2786.199,2679419
2787.764,2724658
2789.329,2742476
2790.894,2735209
2792.459,2694003
2794.024,2635335
2795.589,2558177
2797.154,2468133
2798.719,2384906
2800.284,2298148
2801.849,2183660
2803.414,2061708
2804.979,1951357
2806.544,1852756
2808.109,1761476
2809.674,1684763
2811.239,1618368
2812.803,1568138
2814.368,1536050
2815.933,1517430
2817.498,1506954
2819.063,1506234
2820.628,1503161
2822.193,1509828
2823.758,1509076
2825.323,1505250
2826.888,1506112
2828.453,1503777
2830.018,1493998
2831.583,1481872
2833.148,1470428
2834.713,1456761
2836.278,1466816
2837.843,1475871
2839.408,1456036
2840.973,1441979
2842.538,1423428
2844.103,1420520
2845.668,1421463
2847.232,1414303
2848.797,1409503
2850.362,1409809
2851.927,1419667
2853.492,1431446
2855.057,1420556
2856.622,1418060
2858.187,1418405
2859.752,1419811
2861.317,1415639
2862.882,1416940
2864.447,1416056
2866.012,1398065
2867.577,1400430
2869.142,1409394
2870.707,1416393
2872.272,1420346
2873.837,1413647
2875.402,1427002
2876.967,1432422
2878.532,1449910
2880.096,1466965
2881.661,1483959
2883.226,1508224
2884.791,1532452
2886.356,1551490
2887.921,1577062
2889.486,1587493
2891.051,1599654
2892.616,1621746
2894.181,1654493
2895.746,1678590
2897.311,1702264
2898.876,1758449
2900.441,1803571
2902.006,1865664
2903.571,1926028
2905.136,1992814
2906.701,2048400
2908.266,2124284
2909.831,2173019
2911.396,2237031
2912.961,2263443
2914.525,2314300
2916.09,2353968
2917.655,2391012
2919.22,2418231
2920.785,2481000
2922.35,2523610
2923.915,2553571
2925.48,2588895
2927.045,2619524
2928.61,2631533
2930.175,2624623
2931.74,2606171
2933.305,2575805
2934.87,2588538
2936.435,2544999
2938,2531400
2939.565,2494388
2941.13,2480198
2942.695,2462394
2944.26,2404935
2945.825,2366729
2947.389,2338123
2948.954,2323188
2950.519,2302068
2952.084,2309298
2953.649,2287463
2955.214,2255686
2956.779,2224070
2958.344,2197684
2959.909,2162277
2961.474,2150051
2963.039,2132016
2964.604,2105341
2966.169,2075813
2967.734,2054206
2969.299,2026422
2970.864,1982196
2972.429,1940172
2973.994,1894680
2975.559,1861655
2977.124,1828705
2978.689,1805168
2980.254,1783089
2981.818,1775215
2983.383,1744089
2984.948,1707328
2986.513,1683695
2988.078,1653160
2989.643,1636187
2991.208,1618702
2992.773,1594642
2994.338,1569830
2995.903,1546816
2997.468,1534768
2999.033,1524029
3000.598,1511968
3002.163,1497312
3003.728,1503000
3005.293,1497300
3006.858,1493914
3008.423,1486394
3009.988,1471008
3011.553,1462760
3013.118,1454630
3014.682,1454114
3016.247,1441223
3017.812,1437633
3019.377,1428939
3020.942,1424088
3022.507,1415026
3024.072,1386387
3025.637,1367460
3027.202,1356565
3028.767,1357902
3030.332,1349774
3031.897,1356161
3033.462,1362916
3035.027,1354114
3036.592,1349354
3038.157,1317264
3039.722,1288427
3041.287,1264935
3042.852,1246293
3044.417,1236276
3045.982,1224419
3047.547,1210792
3049.111,1203034
3050.676,1188655
3052.241,1171803
3053.806,1162096
3055.371,1152724
3056.936,1145831
3058.501,1148884
3060.066,1148621
3061.631,1153432
3063.196,1168892
3064.761,1175148
3066.326,1179990
3067.891,1187069
3069.456,1194532
3071.021,1200076
3072.586,1205886
3074.151,1209234
3075.716,1200616
3077.281,1199674
3078.846,1194346
3080.411,1189890
3081.975,1186545
3083.54,1188634
3085.105,1201055
3086.67,1199144
3088.235,1198765
3089.8,1194104
3091.365,1190172
3092.93,1196486
3094.495,1196617
3096.06,1193830
3097.625,1195543
3099.19,1201876
3100.755,1197657
3102.32,1188053
3103.885,1188086
3105.45,1193618
3107.015,1190557
3108.58,1174316
3110.145,1172881
3111.71,1171709
3113.275,1174094
3114.84,1172933
3116.404,1167755
3117.969,1162984
3119.534,1163277
3121.099,1163906
3122.664,1168813
3124.229,1162842
3125.794,1164865
3127.359,1182646
3128.924,1206221
3130.489,1231063
3132.054,1264130
3133.619,1298838
3135.184,1334793
3136.749,1365716
3138.314,1400066
3139.879,1419805
3141.444,1440862
3143.009,1448494
3144.574,1458930
3146.139,1454782
3147.704,1451255
3149.268,1468106
3150.833,1502936
3152.398,1566225
3153.963,1647409
3155.528,1786332
3157.093,1964656
3158.658,2158928
3160.223,2363614
3161.788,2572557
3163.353,2756881
3164.918,2916385
3166.483,3032197
3168.048,3136799
3169.613,3217009
3171.178,3267647
3172.743,3279464
3174.308,3255544
3175.873,3239117
3177.438,3227460
3179.003,3205261
3180.568,3160393
3182.133,3091981
3183.697,3015073
3185.262,2932485
3186.827,2857995
3188.392,2788063
3189.957,2718657
3191.522,2643084
3193.087,2549465
3194.652,2462888
3196.217,2394495
3197.782,2328507
3199.347,2272734
3200.912,2205709
3202.477,2133811
3204.042,2060002
3205.607,1991644
3207.172,1929115
3208.737,1870617
3210.302,1825916
3211.867,1776682
3213.432,1734173
3214.997,1688393
3216.561,1636115
3218.126,1588685
3219.691,1551464
3221.256,1524768
3222.821,1502163
3224.386,1487904
3225.951,1484637
3227.516,1492534
3229.081,1509557
3230.646,1524547
3232.211,1551996
3233.776,1577215
3235.341,1586925
3236.906,1607970
3238.471,1628648
3240.036,1641133
3241.601,1655230
3243.166,1669768
3244.731,1689616
3246.296,1709783
3247.861,1739101
3249.426,1767887
3250.99,1809589
3252.555,1857147
3254.12,1894190
3255.685,1920222
3257.25,1951195
3258.815,1961232
3260.38,1952424
3261.945,1928459
3263.51,1912546
3265.075,1897014
3266.64,1864477
3268.205,1833798
3269.77,1814707
3271.335,1818292
3272.9,1827554
3274.465,1842797
3276.03,1873703
3277.595,1908539
3279.16,1954171
3280.725,2001680
3282.29,2047314
3283.854,2098923
3285.419,2144390
3286.984,2173016
3288.549,2184819
3290.114,2176775
3291.679,2171535
3293.244,2180643
3294.809,2200717
3296.374,2231665
3297.939,2275545
3299.504,2349209
3301.069,2454340
3302.634,2596641
3304.199,2767159
3305.764,2956059
3307.329,3148674
3308.894,3348676
3310.459,3534492
3312.024,3679213
3313.589,3797803
3315.154,3893445
3316.719,3964629
3318.283,4004476
3319.848,4042340
3321.413,4096029
3322.978,4150195
3324.543,4188131
3326.108,4210490
3327.673,4240757
3329.238,4254845
3330.803,4218415
3332.368,4152786
3333.933,4079715
3335.498,3995489
3337.063,3901452
3338.628,3810712
3340.193,3743282
3341.758,3703865
3343.323,3698232
3344.888,3699303
3346.453,3724463
3348.018,3749129
3349.583,3798151
3351.147,3843309
3352.712,3892149
3354.277,3917863
3355.842,3928286
3357.407,3928750
3358.972,3923548
3360.537,3908086
3362.102,3847865
3363.667,3784616
3365.232,3730620
3366.797,3678858
3368.362,3604491
3369.927,3501516
3371.492,3390473
3373.057,3282647
3374.622,3203826
3376.187,3140559
3377.752,3072056
3379.317,3039567
3380.882,3022518
3382.447,3015340
3384.012,3005267
3385.576,3013986
3387.141,3048990
3388.706,3118270
3390.271,3205691
3391.836,3301537
3393.401,3421785
3394.966,3535472
3396.531,3632307
3398.096,3707508
3399.661,3755978
3401.226,3777964
3402.791,3783126
3404.356,3788764
3405.921,3785470
3407.486,3778704
3409.051,3773424
3410.616,3763492
3412.181,3759409
3413.746,3741672
3415.311,3735602
3416.876,3728066
3418.44,3714022
3420.005,3680267
3421.57,3622380
3423.135,3545611
3424.7,3492611
3426.265,3426394
3427.83,3330220
3429.395,3240061
3430.96,3164166
3432.525,3089709
3434.09,3018196
3435.655,2945384
3437.22,2904735
3438.785,2872796
3440.35,2842233
3441.915,2828873
3443.48,2825488
3445.045,2842260
3446.61,2882890
3448.175,2912017
3449.74,2952368
3451.305,3002459
3452.869,3048841
3454.434,3104131
3455.999,3166689
3457.564,3227790
3459.129,3273595
3460.694,3307306
3462.259,3334859
3463.824,3344576
3465.389,3342867
3466.954,3325778
3468.519,3308891
3470.084,3270880
3471.649,3203745
3473.214,3129543
3474.779,3053938
3476.344,2991741
3477.909,2941502
3479.474,2862371
3481.039,2821441
3482.604,2796313
3484.169,2738432
3485.733,2709431
3487.298,2689196
3488.863,2677475
3490.428,2699141
3491.993,2696526
3493.558,2730977
3495.123,2761575
3496.688,2797220
3498.253,2859750
3499.818,2916507
3501.383,2997395
3502.948,3066472
3504.513,3162399
3506.078,3275217
3507.643,3382184
3509.208,3496503
3510.773,3617287
3512.338,3772841
3513.903,3872766
3515.468,3975931
3517.033,4081652
3518.598,4167181
3520.162,4224943
3521.727,4264668
3523.292,4302117
3524.857,4340288
3526.422,4364103
3527.987,4378118
3529.552,4409448
3531.117,4433758
3532.682,4477588
3534.247,4476582
3535.812,4470148
3537.377,4422895
3538.942,4367733
3540.507,4316678
3542.072,4274822
3543.637,4225860
3545.202,4166699
3546.767,4088476
3548.332,3987830
3549.897,3893659
3551.462,3803889
3553.026,3704214
3554.591,3609678
3556.156,3535305
3557.721,3468462
3559.286,3402588
3560.851,3329117
3562.416,3270672
3563.981,3217698
3565.546,3176871
3567.111,3146671
3568.676,3122237
3570.241,3084718
3571.806,3052879
3573.371,3019223
3574.936,2997537
3576.501,2991165
3578.066,2987310
3579.631,2974766
3581.196,2972022
3582.761,2971965
3584.326,2965305
3585.891,2977807
3587.455,3008211
3589.02,3034036
3590.585,3053144
3592.15,3059640
3593.715,3049810
3595.28,3042612
3596.845,3034965
3598.41,3032486
3599.975,3040447
3601.54,3039875
3603.105,3024850
3604.67,2999214
3606.235,2972790
3607.8,2944800
3609.365,2932449
3610.93,2921886
3612.495,2914421
3614.06,2915230
3615.625,2915733
3617.19,2940313
3618.755,2993906
3620.319,3074941
3621.884,3143277
3623.449,3206009
3625.014,3256561
3626.579,3299447
3628.144,3319789
3629.709,3311671
3631.274,3271357
3632.839,3223010
3634.404,3148031
3635.969,3096115
3637.534,3045641
3639.099,3013413
3640.664,2991604
3642.229,2986882
3643.794,2982417
3645.359,2986884
3646.924,3003033
3648.489,3030797
3650.054,3057763
3651.619,3089857
3653.183,3108933
3654.748,3147155
3656.313,3201994
3657.878,3270958
3659.443,3317581
3661.008,3340932
3662.573,3400241
3664.138,3453195
3665.703,3507589
3667.268,3555283
3668.833,3604675
3670.398,3625545
3671.963,3669914
3673.528,3693322
3675.093,3680143
3676.658,3706959
3678.223,3705431
3679.788,3695644
3681.353,3713670
3682.918,3719961
3684.483,3693316
3686.048,3659557
3687.612,3642553
3689.177,3635624
3690.742,3626688
3692.307,3604570
3693.872,3602692
3695.437,3540485
3697.002,3469048
3698.567,3410422
3700.132,3393757
3701.697,3379937
3703.262,3402893
3704.827,3402772
3706.392,3406280
3707.957,3419186
3709.522,3467817
3711.087,3533545
3712.652,3598125
3714.217,3665350
3715.782,3701830
3717.347,3719013
3718.912,3777033
3720.476,3845785
3722.041,3876990
3723.606,3911799
3725.171,3911376
3726.736,3911308
3728.301,3916404
3729.866,3900971
3731.431,3888949
3732.996,3852912
3734.561,3831620
3736.126,3810617
3737.691,3773672
3739.256,3785915
3740.821,3748927
3742.386,3760132
3743.951,3723617
3745.516,3684606
3747.081,3673625
3748.646,3667129
3750.211,3652802
3751.776,3642904
3753.341,3639243
3754.905,3640143
3756.47,3634861
3758.035,3624445
3759.6,3605691
3761.165,3584725
3762.73,3574047
3764.295,3559610
3765.86,3530656
3767.425,3494070
3768.99,3461778
3770.555,3426741
3772.12,3392843
3773.685,3355126
3775.25,3307146
3776.815,3259730
3778.38,3215521
3779.945,3176085
3781.51,3140704
3783.075,3094384
3784.64,3054662
3786.205,3021955
3787.769,2989785
3789.334,2940960
3790.899,2894062
3792.464,2849263
3794.029,2818278
3795.594,2776332
3797.159,2755236
3798.724,2734940
3800.289,2715086
3801.854,2688805
3803.419,2659848
3804.984,2640931
3806.549,2651082
3808.114,2665171
3809.679,2660895
3811.244,2663985
3812.809,2662210
3814.374,2670240
3815.939,2667904
3817.504,2658185
3819.069,2643347
3820.634,2617303
3822.198,2587947
3823.763,2561784
3825.328,2538170
3826.893,2507581
3828.458,2464415
3830.023,2419226
3831.588,2381755
3833.153,2349329
3834.718,2326416
3836.283,2313243
3837.848,2300911
3839.413,2293247
3840.978,2286731
3842.543,2276909
3844.108,2277485
3845.673,2279624
3847.238,2284197
3848.803,2295476
3850.368,2308194
3851.933,2314461
3853.498,2309671
3855.062,2291650
3856.627,2275657
3858.192,2264681
3859.757,2250439
3861.322,2237505
3862.887,2237001
3864.452,2249971
3866.017,2261069
3867.582,2281393
3869.147,2304163
3870.712,2332448
3872.277,2354490
3873.842,2376996
3875.407,2398332
3876.972,2418071
3878.537,2420608
3880.102,2425481
3881.667,2431412
3883.232,2443905
3884.797,2460120
3886.362,2480045
3887.927,2499976
3889.491,2505625
3891.056,2498596
3892.621,2478996
3894.186,2439619
3895.751,2392742
3897.316,2347338
3898.881,2313414
3900.446,2279199
3902.011,2244658
3903.576,2217203
3905.141,2185901
3906.706,2157679
3908.271,2148685
3909.836,2129590
3911.401,2106302
3912.966,2085364
3914.531,2081897
3916.096,2092675
3917.661,2091193
3919.226,2085620
3920.791,2081515
3922.355,2094319
3923.92,2109117
3925.485,2119598
3927.05,2122914
3928.615,2128892
3930.18,2126597
3931.745,2129961
3933.31,2139400
3934.875,2157440
3936.44,2173379
3938.005,2181454
3939.57,2185684
3941.135,2182419
3942.7,2175794
3944.265,2178225
3945.83,2178099
3947.395,2172400
3948.96,2156848
3950.525,2145582
3952.09,2141698
3953.655,2124168
3955.22,2112270
3956.784,2098912
3958.349,2092950
3959.914,2086548
3961.479,2075515
3963.044,2063631
3964.609,2058841
3966.174,2049944
3967.739,2041753
3969.304,2043573
3970.869,2047085
3972.434,2056725
3973.999,2058438
3975.564,2062470
3977.129,2062912
3978.694,2061852
3980.259,2051608
3981.824,2040804
3983.389,2037605
3984.954,2036539
3986.519,2040222
3988.084,2040190
3989.648,2036333
3991.213,2021391
3992.778,2009566
3994.343,2005865
3995.908,1999013
3997.473,1989967
3999.038,1982832
4000.603,1972656
4002.168,1957824
4003.733,1930482
4005.298,1907981
4006.863,1897410
4008.428,1889956
4009.993,1883631
4011.558,1878516
4013.123,1873075
4014.688,1880376
4016.253,1886614
4017.818,1890240
4019.383,1892298
4020.948,1890203
4022.513,1884870
4024.077,1869735
4025.642,1860298
4027.207,1857237
4028.772,1863560
4030.337,1877650
4031.902,1887374
4033.467,1885182
4035.032,1881614
4036.597,1890506
4038.162,1913739
4039.727,1930803
4041.292,1928147
4042.857,1921883
4044.422,1921324
4045.987,1918276
4047.552,1919016
4049.117,1916419
4050.682,1917543
4052.247,1928869
4053.812,1947227
4055.377,1952965
4056.941,1957439
4058.506,1966488
4060.071,1985855
4061.636,2021455
4063.201,2057297
4064.766,2098256
4066.331,2136631
4067.896,2174640
4069.461,2200880
4071.026,2220193
4072.591,2237619
4074.156,2239427
4075.721,2230866
4077.286,2226689
4078.851,2218302
4080.416,2216094
4081.981,2214149
4083.546,2201255
4085.111,2209417
4086.676,2231067
4088.241,2262066
4089.806,2290528
4091.37,2327091
4092.935,2376151
4094.5,2421186
4096.065,2465797
4097.63,2489829
4099.195,2508356
4100.76,2511770
4102.325,2515692
4103.89,2497988
4105.455,2476207
4107.02,2451747
4108.585,2421855
4110.15,2394097
4111.715,2374020
4113.28,2357623
4114.845,2344754
4116.41,2333992
4117.975,2322016
4119.54,2317122
4121.105,2322433
4122.67,2334464
4124.234,2364781
4125.799,2411555
4127.364,2472341
4128.929,2530919
4130.494,2581624
4132.059,2624746
4133.624,2665513
4135.189,2711885
4136.754,2755199
4138.319,2790140
4139.884,2809790
4141.449,2795212
4143.014,2730393
4144.579,2615297
4146.144,2473075
4147.709,2302183
4149.274,2104256
4150.839,1895401
4152.404,1700126
4153.969,1518278
4155.534,1363790
4157.099,1254442
4158.663,1169651
4160.228,1101605
4161.793,1051883
4163.358,1023119
4164.923,1019405
4166.488,1027353
4168.053,1045543
4169.618,1082077
4171.183,1142832
4172.748,1217346
4174.313,1300764
4175.878,1376212
4177.443,1434746
4179.008,1479467
4180.573,1506474
4182.138,1505659
4183.703,1463390
4185.268,1389306
4186.833,1295584
4188.398,1196681
4189.963,1099603
4191.527,1009533
4193.092,940282
4194.657,891726
4196.222,856114
4197.787,839312
4199.352,833222
4200.917,831141
4202.482,832288
4204.047,841369
4205.612,859609
4207.177,882247
4208.742,911691
4210.307,938042
4211.872,957234
4213.437,961355
4215.002,941655
4216.567,905586
4218.132,855749
4219.697,807260
4221.262,772606
4222.827,751243
4224.392,740301
4225.956,725660
4227.521,707153
4229.086,684795
4230.651,652341
4232.216,603099
4233.781,544574
4235.346,491304
4236.911,445201
4238.476,404347
4240.041,369925
4241.606,337556
4243.171,308923
4244.736,280916
4246.301,258506
4247.866,232643
4249.431,209658
4250.996,192377
4252.561,177508
4254.126,165927
4255.691,156911
4257.256,149608
4258.82,145833
4260.385,144357
4261.95,144504
4263.515,143587
4265.08,140242
4266.645,134692
4268.21,127625
4269.775,123296
4271.34,122165
4272.905,122336
4274.47,119403
4276.035,115764
4277.6,113630
4279.165,114984
4280.73,118762
4282.295,124391
4283.86,135197
4285.425,151828
4286.99,172333
4288.555,193359
4290.12,215292
4291.685,237398
4293.249,258800
4294.814,280205
4296.379,306360
4297.944,338322
4299.509,370454
4301.074,395909
4302.639,413213
4304.204,427617
4305.769,429088
4307.334,414701
4308.899,385080
4310.464,354638
4312.029,329310
4313.594,307276
4315.159,289576
4316.724,277665
4318.289,274171
4319.854,279815
4321.419,294776
4322.984,313460
4324.549,328208
4326.113,347393
4327.678,372134
4329.243,401025
4330.808,430236
4332.373,462740
4333.938,496796
4335.503,527606
4337.068,553727
4338.633,578425
4340.198,600139
4341.763,615067
4343.328,621044
4344.893,619503
4346.458,608843
4348.023,596211
4349.588,576677
4351.153,552878
4352.718,525352
4354.283,493072
4355.848,457269
4357.413,421930
4358.978,388991
4360.542,358701
4362.107,330788
4363.672,306938
4365.237,281386
4366.802,258813
4368.367,241983
4369.932,229876
4371.497,218072
4373.062,207837
4374.627,202115
4376.192,198112
4377.757,193451
4379.322,190844
4380.887,189011
4382.452,187642
4384.017,186313
4385.582,188021
4387.147,190500
4388.712,193178
4390.277,196429
4391.842,202124
4393.406,208859
4394.971,213646
4396.536,217050
4398.101,220982
4399.666,227490
4401.231,234754
4402.796,238597
4404.361,241761
4405.926,244564
4407.491,250745
4409.056,258057
4410.621,264793
4412.186,269190
4413.751,272450
4415.316,275392
4416.881,278176
4418.446,280330
4420.011,282836
4421.576,286464
4423.141,293728
4424.706,305763
4426.271,319206
4427.835,332269
4429.4,344793
4430.965,360057
4432.53,378678
4434.095,403463
4435.66,428667
4437.225,450180
4438.79,468179
4440.355,484401
4441.92,499122
4443.485,518308
4445.05,537215
4446.615,552556
4448.18,566442
4449.745,579335
4451.31,585497
4452.875,582949
4454.44,583246
4456.005,582231
4457.57,579484
4459.135,571037
4460.699,565214
4462.264,556841
4463.829,550493
4465.394,548645
4466.959,550838
4468.524,553665
4470.089,559503
4471.654,573825
4473.219,590138
4474.784,603737
4476.349,614015
4477.914,625155
4479.479,640730
4481.044,659162
4482.609,679797
4484.174,703066
4485.739,726436
4487.304,745448
4488.869,759588
4490.434,777662
4491.999,794985
4493.564,803826
4495.128,808093
4496.693,815458
4498.258,835520
4499.823,847168
